Símbolo,Nome da Empresa,Último Preço,Alterar,Variação,Volume
EMBR3.SA,Embraer S.A.,"31,02","-0,40","-1,27%",1.268.300
CTIP3.SA,CTIP3.SA,,,,
ENBR3.SA,ENBR3.SA,,,,
CESP6.SA,CESP6.SA,,,,
BRPR3.SA,BR Properties S.A.,"131,17","0,00","0,00%",0
ABEV3.SA,Ambev S.A.,"12,05","-0,02","-0,17%",4.424.600
BRFS3.SA,BRF S.A.,"17,94","0,04","+0,22%",2.080.600
EQTL3.SA,Equatorial Energia S.A.,"31,39","-0,10","-0,32%",1.200.100
BBSE3.SA,BB Seguridade Participações S.A.,"32,88","-0,13","-0,39%",529.200
BBDC4.SA,Banco Bradesco S.A.,"13,92","-0,08","-0,57%",8.888.400
ELET3.SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás,"38,24","-0,25","-0,65%",1.056.300
CIEL3.SA,Cielo S.A.,"5,42","-0,04","-0,73%",2.870.800
CPLE6.SA,Companhia Paranaense de Energia - COPEL,"9,13","-0,09","-0,98%",3.403.500
CMIG4.SA,Companhia Energética de Minas Gerais - CEMIG,"12,84","-0,13","-1,00%",1.945.100
BBDC3.SA,Banco Bradesco S.A.,"12,30","-0,13","-1,05%",1.005.300
CPFE3.SA,CPFL Energia S.A.,"34,76","-0,39","-1,11%",436.000
BBAS3.SA,Banco do Brasil S.A.,"27,90","-0,33","-1,17%",5.602.100
ECOR3.SA,EcoRodovias Infraestrutura e Logística S.A.,"7,56","-0,09","-1,18%",1.047.100
CSAN3.SA,Cosan S.A.,"14,21","-0,19","-1,32%",1.979.900
BRKM5.SA,Braskem S.A.,"22,88","-0,42","-1,80%",365.000
BRAP4.SA,Bradespar S.A.,"20,49","-0,39","-1,87%",1.551.000
CCRO3.SA,CCR S.A.,"12,72","-0,28","-2,15%",2.958.100
ESTC3.SA,ESTC3.SA,,,,
GGBR4.SA,Gerdau S.A.,"22,63","-0,46","-1,99%",2.431.600
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações,"20,86","-0,49","-2,30%",2.250.400
CSNA3.SA,Companhia Siderúrgica Nacional,"14,02","-0,37","-2,57%",1.485.300
BVMF3.SA,BVMF3.SA,,,,
656690,656690,,,,
BRML3.SA,BRML3.SA,,,,
FIBR3.SA,Fibria Celulose S.A.,,,,
